PROMO_ID,TARGET_LEVEL,TARGET_ID,CAMPAIGN_NAME,START_WEEK,PEAK_WEEK,END_WEEK,DISCOUNT_PCT,PROMOTION_TYPE,PROMOTION_INTENSITY,CHANNEL,REGION
PRM-NY-01,DEPARTMENT,DEP-APP,New Year Apparel Clearance,1,1,3,35.0,CLEARANCE,HIGH,OMNICHANNEL,PAN_INDIA
PRM-REP-02,DEPARTMENT,DEP-ELE,Republic Day Electronics Bash,3,4,4,25.0,FESTIVAL_SPECIAL,HIGH,OMNICHANNEL,PAN_INDIA
PRM-VAL-03,DEPARTMENT,DEP-LIF,Valentine's Gifting & Lifestyle,5,6,7,20.0,BUNDLE,MEDIUM,OMNICHANNEL,PAN_INDIA
PRM-HOL-04,DEPARTMENT,DEP-GRO,Holi Colors & Grocery Dhamaka,10,11,12,20.0,FESTIVAL_SPECIAL,HIGH,OMNICHANNEL,"North,West,Central"
PRM-SUM-05,DEPARTMENT,DEP-ELE,Summer Cooling Appliances Fest,16,19,22,22.0,PERCENTAGE_OFF,HIGH,OMNICHANNEL,PAN_INDIA
PRM-BTS-06,DEPARTMENT,DEP-TOY,Back to School Stationery & Bags,21,24,26,25.0,BUNDLE,HIGH,OMNICHANNEL,PAN_INDIA
PRM-EOSS-07,DEPARTMENT,DEP-APP,End of Season Sale - Summer,26,28,30,45.0,CLEARANCE,VERY_HIGH,OMNICHANNEL,PAN_INDIA
PRM-IND-08,DEPARTMENT,DEP-HOM,Independence Day Home & Living Sale,31,33,33,30.0,FESTIVAL_SPECIAL,HIGH,OMNICHANNEL,PAN_INDIA
PRM-ONAM-09,DEPARTMENT,DEP-APP,Onam Traditional Shopping Festival,34,35,36,30.0,FESTIVAL_SPECIAL,HIGH,STORE,South
PRM-GAN-10,DEPARTMENT,DEP-LIF,Ganesh Chaturthi Pooja & Decor Special,36,37,38,20.0,FESTIVAL_SPECIAL,MEDIUM,STORE,"West,South"
PRM-BBD-11,DEPARTMENT,DEP-ELE,Mega Festive Electronics Carnival,39,41,42,40.0,FLASH_SALE,VERY_HIGH,OMNICHANNEL,PAN_INDIA
PRM-DIW-12,DEPARTMENT,DEP-APP,Diwali Grand Festive Mega Sale,42,44,45,35.0,FESTIVAL_SPECIAL,VERY_HIGH,OMNICHANNEL,PAN_INDIA
PRM-BF-13,DEPARTMENT,DEP-ELE,Black Friday Cyber Tech Week,46,47,48,45.0,FLASH_SALE,VERY_HIGH,OMNICHANNEL,PAN_INDIA
PRM-WED-14,DEPARTMENT,DEP-APP,Winter Wedding & Luxury Gala,47,49,51,25.0,BUNDLE,HIGH,STORE,"North,Central,West"
PRM-XMAS-15,DEPARTMENT,DEP-LIF,Christmas & Year End Mega Bash,50,51,52,35.0,CLEARANCE,VERY_HIGH,OMNICHANNEL,PAN_INDIA
