Event_ID,Event_Name,Event_Type,Sub_Type,Region,Calendar_Anchor,Annual_Week_Peak,Typical_Start_Week,Typical_End_Week,Lead_Time_Weeks,Decay_Weeks,Category_Impact_Keywords,Impact_Profile,Demand_Multiplier,Weather_Sensitivity,Geography_Weight,Recurrence_Type,Source_URL,Notes
EV001,New Year Shopping & Gifting,Commercial,Gregorian/New Year,India,2026,1,1,2,2,1,"Party Supplies, Snacks, Cakes, Chocolates, Beverages, Gifts, Fashion, Beauty, Watches, Consumer Electronics",Positive,1.8,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV002,New Year Clearance Sales,Commercial,Clearance,India,2026,1,1,4,2,3,"Apparel, Footwear, Fashion Accessories, Home Furnishings, Consumer Electronics, Furniture",Positive,2.2,Low,National,Annual,,Retailer-controlled; exact dates vary.
EV003,Winter Peak / Cold Wave,Weather,Winter,North & Central India,2026,2,1,5,2,3,"Winterwear, Blankets, Quilts, Heaters, Hot Beverages, Skincare, Humidifiers",Positive,1.8,High,Regional,Annual,https://mausam.imd.gov.in/imd_latest/contents/onset.php,
EV004,Lohri,Festival,Harvest/Sikh,"Punjab, Haryana, HP, Delhi-NCR",2026,2,2,2,2,1,"Ethnic Wear, Punjabi Sweets, Sesame, Jaggery, Peanuts, Dry Fruits, Gifting, Home Decor",Positive,2.3,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV005,Bhogi,Festival,Harvest/Regional,"Tamil Nadu, Andhra Pradesh, Telangana",2026,2,2,2,2,1,"Home Cleaning, Household Goods, New Utensils, Furniture, Apparel, Home Decor",Positive,1.8,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV006,Makar Sankranti,Festival,Harvest/Hindu,"Pan-India; North, West, Central, South India",2026,3,2,3,2,1,"Til, Jaggery, Sweets, Dry Fruits, Kites, Kite Accessories, Ethnic Wear, Puja Items",Positive,2.2,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV007,Pongal,Festival,Harvest/Regional,Tamil Nadu; Tamil diaspora,2026,3,2,3,3,2,"Rice, Jaggery, Sugarcane, Milk, Ghee, Spices, Fresh Produce, Ethnic Wear, Kitchenware, Puja Items, Home Decor, Gifts",Positive,3.2,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV008,Mattu Pongal,Festival,Harvest/Animal Celebration,Tamil Nadu,2026,3,3,3,1,1,"Fresh Food, Flowers, Traditional Foods, Ethnic Wear, Cattle-related Goods, Decorations",Positive,1.8,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV009,Vasant Panchami / Basant Panchami,Festival,Hindu/Cultural,"North, East, Central India",2026,4,4,4,1,1,"Yellow Apparel, Sweets, Flowers, Puja Items, Books, Stationery, Educational Products",Positive,1.7,Low,Regional,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
EV010,Republic Day,National,National Holiday,India,2026,4,4,4,2,1,"Apparel, Flag Merchandise, Snacks, Beverages, Travel, Stationery, Consumer Electronics",Positive,1.5,Low,National,Annual,https://www.drikpanchang.com/calendars/indian/indiancalendar.html,
